id,female,age,pc1,app1,gw1,pw1,par1,teach1,mate1,fri1,mot1,aff1,aut1,pc2,app2,gw2,pw2,par2,teach2,mate2,fri2,mot2,aut2,aff2,acomp2,aca_imp,pc3,app3,gw3,pw3,par3,teach3,mate3,fri3,mot3,aff3,aut3,acomp3,pc4,app4,gw4,pw4,par4,teach4,mate4,fri4,mot4,aff4,aut4,acomp4,roman4
1085,1,14,2,2,2.5,2.2,3,3.2,3,3.2,2.6,3,2.6,1.75,2.25,2.5,2,3.2,3.4,3.4,4,2.8,2.6,2.33,.,3.69,2,2.5,2.75,1.8,3.6,3,3.4,3.2,3,2.33,2.2,3.2,2,1.5,2.25,1.8,2.8,2.8,3.4,4,3,2.33,1.8,3.6,1.2
1086,0,15,3,1.75,2.75,3.4,2.2,3.4,2.8,1.2,3.6,4,2.8,2.5,2,2.75,3.2,3,2.8,2.4,2.4,2.8,2.6,4,.,2.55,3.25,2,2.5,2.8,2.8,3,2.4,2.4,3.6,4,2.8,3.4,3,1.5,2,2.2,2.2,2.8,2.8,3,3.8,4,3,3.8,2
1087,0,14,2.25,2,1.5,2.8,2,.,1,3,.,3.33,.,3.5,2.75,1.5,1.8,.,.,.,.,2,2.2,3,.,2.69,3.25,2,2.75,3,3.2,2.8,3,2,1.6,2.67,2.4,2.2,2.25,1.75,1.25,2.6,1.8,3,2.8,2.4,2.6,2.67,2.4,2.4,2.4
1088,0,14,2.75,2.75,2.75,2.8,1,2,2.8,3.6,3,3,2,3,2.5,2.5,2.4,2,2.4,3,3,3,2.8,3,.,3.32,.,.,.,.,.,.,.,.,.,.,.,.,3.25,2.5,2.5,2.8,1.4,2,3.4,4,3.2,3,2.2,2.4,2.4
1089,0,14,3.5,3.75,3.5,3.6,3.6,3.4,3.2,3.4,2.8,3.67,2.8,2.5,3,3.25,2.8,3.2,3,2.8,3,3.2,3,2.67,.,3.64,3,3,3,3,3,3,3,3,2.8,3,3,3,3,3,3,3,3,3,3,3,2.8,3,3,3,3
1090,1,15,3,2.25,3.5,2.6,4,4,4,3,3.4,3,3.2,3,2.25,3.75,2.8,4,4,4,4,4,4,4,.,2.93,3,2,3,2.6,4,3,4,3.8,4,4,4,3.8,3.25,2,3.5,3,4,4,4,4,4,4,4,4,2
1091,1,14,2.25,2,2.5,2,3.6,2.6,3.4,4,2.6,3.33,2.4,1.75,2,2.5,2.4,2.6,2.4,2.8,2.6,2.6,2.2,2,.,3.54,2.75,3,2.5,2.8,2.4,2.6,2.8,3.2,2.6,2.67,2.4,3.2,2.5,2,3,2.4,2.6,2.6,2.8,3,2.6,2.33,2.4,3.2,3.8
1092,0,14,3.5,3.75,4,3.8,3.8,3.8,3.8,4,3.4,3,3.2,4,4,4,4,2.8,3.6,2.8,4,3,3,2.67,.,4.09,3.5,3.75,3.25,3.4,3.4,2.6,3.6,4,2.4,2,2,4,3.5,3.5,3.25,3.6,3.6,4,3.6,4,2.8,3,2.8,3.6,4
1093,1,16,3,2.25,2.75,2.4,3.4,3.2,3.4,3,3.2,3.67,2.4,2,1.75,2.25,2.2,3.2,4,3.2,4,2.8,2.8,2,.,3.24,3.25,2.5,2.5,2.2,3,3.2,3.2,2.4,4,3.33,2.6,3.6,3,2.25,3.25,2.4,3.2,2.8,3,2.6,4,3.67,3.2,3,3
1094,1,15,2.25,1.75,2.5,2.6,3.4,3,2.8,4,2.4,3,3.4,3.25,3,3.25,3,3.4,3.2,3.6,4,3.8,3,3,.,3.5,3,3.5,4,3.6,4,3.6,3.6,4,3.8,3.33,3.4,2.2,3.25,3.5,4,3.8,4,4,4,4,3.8,4,3.8,2.6,3.8
1095,1,14,3.25,3.75,3.75,3.4,3,3.8,3.8,4,3.8,2.67,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.,3.25,3,3,3,3,3,3,3.2,3,2.33,2.8,3.6,3,3,3,3,2.2,3.4,3.6,4,3.4,3,3,3.8,4
1096,0,14,3,2,3,3,2.6,2.8,2.2,2.8,2.6,2.67,2.8,2.75,2.75,3,3,2.8,2.6,2.8,2.6,3,3,3,.,2.68,3,3,3,3.2,3,3,3,3,3,3,2.8,3,3.75,3.25,3.75,3.6,3.4,3.4,3.2,3.4,3,4,3.8,3.6,3.8
1097,0,16,2.5,2.5,2.75,3,2.2,2.8,2.6,2.4,2.8,2.33,2.8,3,2.5,2.75,2.6,3,3,2.6,3,2.4,2.4,2.67,3,3,2.5,2,2.5,2.8,2.8,2.6,2.6,2.6,2.2,3,2.2,2.2,2.75,2.5,2.75,2.4,2.6,3,2.4,2.8,2.4,3,2.6,2.2,2.6
1098,1,16,2.5,2.5,3,2.8,2.8,2.6,2.4,2.6,2.4,3,2.2,.,.,.,.,.,.,.,.,.,.,.,.,3.12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1099,1,14,1.5,1.5,2.5,2.4,3.8,3.2,3,4,3,1,2.8,2,2,2,2,3.4,3,3,3,2.6,2.8,1.67,.,2.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1100,.,17,1,1.5,2,2.2,1.8,2.2,2.4,2.8,1.4,1,3.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1101,0,14,2.5,4,4,3,2.8,3,3,3,2.8,3,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.,2.75,3,3,3,3,3,3,3,2.6,3,3.2,3,2.75,3,3,3,3,3,3,2.8,2.6,3,3,2.8,2.4
1102,1,14,2.5,2.25,2.5,2.4,3,2.4,3.4,2.8,2.4,2.67,3,2.5,2.25,2.75,2.6,4,3.2,3.4,3.8,2.4,2.8,2.67,.,3.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1103,1,15,1.5,1.25,1,1,3.2,4,2.4,3.2,2,1.67,2.6,1.75,1,1,1.2,2.8,4,3.4,4,3,2,3,.,3.38,1.5,1.25,1.5,1.8,2.6,3.8,3.4,3.6,2.4,1.33,2.6,2.2,1.75,1,1,1,3,4,2.4,4,2.6,1.67,2.2,2.4,2
1104,0,14,4,4,4,4,3.6,3.4,4,4,2.6,3.33,4,3.5,3.25,3.25,3.4,3.8,3.4,4,3.6,2.4,4,3,.,3.04,4,3.5,4,3.8,2.6,2,3.8,3.8,2.2,1,1.6,3.4,4,4,4,4,3.8,2.2,4,4,3.2,3.33,4,2.6,4
1105,0,15,3.75,3.25,4,3.6,4,3.4,3.4,3,2.4,4,3.4,2.75,3,3.75,3.4,3.8,2.6,3.6,3.2,3.4,3,3.33,.,2.68,2,2.75,3.25,3.4,2.8,2.8,2.8,3.4,2.6,3.33,3.2,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.
1106,0,14,4,4,4,4,4,3.2,3.8,3.4,3.8,4,3.2,4,4,4,4,4,4,4,3.8,3.6,3.2,4,.,3.49,4,4,4,4,4,3.4,4,4,4,4,3.4,4,4,4,4,4,4,4,4,4,4,4,3.4,4,4
1107,0,14,2.25,3.25,3.75,2.4,3.2,3,2.6,4,2.8,2,2.8,2.25,3.75,3.75,3.6,4,2.4,3.2,4,3,2.4,1,.,3.39,2.25,3.25,3.75,3,4,3.2,3.6,4,2.8,2,2.6,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.
1108,0,14,2.75,3.5,3.75,4,4,2.6,3.4,4,3.4,2.67,4,3.25,4,4,3.2,3.8,3.6,3.6,3.6,3.6,3.8,3.67,.,3.46,3.5,4,4,4,4,4,3.6,4,4,3.33,3.2,3.2,3.5,4,4,3.4,4,4,4,4,3.8,4,3.6,3.4,3
1109,0,14,3,3,3,3,3.2,2.8,3,3,2.2,2.67,3,3,3,3,3.2,3,2.6,2.8,3,2.2,3,2.67,.,2.8,2.75,3,3,2.6,2.6,3,3.2,3,2.6,2.33,3.2,2.6,3.25,3,3,3.6,3,2.2,2.8,2.6,2.6,3,3.2,2.6,2.6
1110,0,15,3,3,3,3,2.6,2.2,3,3,1.8,3,2.4,3,1.5,2.75,3,2.4,2.2,2.6,2.2,2.2,2.6,3.33,.,1.34,3.75,2.75,3,3,2.2,2.2,2.6,2.2,3,2.67,2.8,3.6,3.25,3.25,2.5,2.6,3,2.2,2.8,2.6,2.4,1.33,2.4,3,2.6
1111,1,15,1.75,2.5,2.75,3,2.8,2.8,2.8,3,2.6,2,2.8,.,.,.,.,.,.,.,.,2.2,2.8,.,.,2.92,2,2.75,2.75,3,2.8,3,3,3,2.2,2,3,2.8,2,4,4,3.2,3.8,4,3.8,4,3.2,2.67,3.2,3.8,3.4
1112,1,14,3.75,4,4,4,4,3.6,3.2,3.2,2.8,3.67,3.4,3.25,4,3.75,4,4,3,3.33,3,3,3.2,3,.,3.61,3.25,3.25,3.75,3.8,4,3,3.4,3.6,3,3,3,3,3.25,3.5,3.5,3.2,4,3.2,3.4,4,3,3,2.4,3,3
1113,1,14,1.75,3,2.75,2,3.8,3.6,2.8,3.2,2.8,3,2.8,1.75,2.5,2.75,2,3,3,3,3,2.8,2.8,2,.,2.64,2,2.25,2.5,2,3.8,4,2.6,3.8,2.4,2,3,3,1.75,2.75,3.25,2.2,3.6,3.8,2.8,4,2.6,2.33,2.6,2.8,3.4
1114,0,14,3,3.25,4,3,4,4,4,4,4,3.33,4,3.25,4,4,4,4,4,4,4,3.8,3.6,4,.,3.38,4,4,4,4,4,4,3.4,4,3.4,4,3.4,3.6,3.5,4,4,4,4,4,4,4,4,4,3.8,3.4,3.2
1115,1,14,1.5,3,4,3.6,3.6,3.6,3,3.6,2.6,3,3.6,2,3,3.5,3,3.8,3.4,2.8,3.4,3,3,2.33,.,2.82,2,3,3,3,3.6,3.6,3.2,3.2,2.6,2.67,3.2,3,2.25,3.5,3.25,3,3,3,3,3,2.6,2.67,3.2,3.2,3
1116,0,14,.,.,.,.,.,.,.,.,.,.,.,2.25,2.25,2.25,2.6,2.6,2.6,2,2.6,2.4,2.6,2.33,2.2,2.2,2.75,2.75,2,2.8,3.2,2.2,2.8,2.8,2.8,1.33,2.2,1.8,3,1.75,2.25,2.8,2.4,2.4,2.4,1.4,2.4,2.33,3.6,2.8,2
1117,.,14,3,2.5,3,2.8,2.8,3.8,3.4,3.8,3,2.67,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1118,0,15,2,3,3.75,3.2,3.4,4,4,4,3.4,2.33,2.8,3,3,3,3.4,4,4,3.8,4,3.2,3.4,3,3,3,3.5,3,3.75,3.6,4,4,3.6,4,3,3,3,3,3.25,4,4,4,4,4,4,4,2.8,2.67,3.2,3,3
1119,1,15,1.25,2.75,3.25,3,4,3.8,3.4,4,2.6,1.33,3,1.25,3,2.75,2.6,4,3.8,4,4,2.4,3.4,2,3,3,1.5,3,3.75,3.2,4,3.2,4,4,3,2.33,3.6,2.2,1.75,3,3.25,2.6,4,3.6,3.8,4,2.8,2,3.4,3,2.2
1120,0,14,4,2.5,4,3.4,4,2.2,4,4,3.6,4,3.4,4,2.5,4,3.4,4,2.4,4,4,3.6,3.8,3.33,3.4,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1121,1,14,1.75,1.5,1.5,2,3.2,2.8,3.4,3.2,2.2,1.67,3.8,2,1.25,2,2,4,3,3.4,4,2.8,3.4,2,2.4,2.4,2,2,2,2,3.2,3,3.6,4,2.4,2,3.6,2.2,2,2,2,2,3.2,3,3,3,2,2,3.4,2.6,2.6
1122,0,14,3.75,3.75,4,3.8,2.4,2.8,3.8,3,2.2,4,2.6,.,.,.,.,.,.,.,.,.,.,.,.,3.25,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2.75,2.25,2.8,3.2,2.8,2.2,2.6,2.6,2.67,2.4,2.8,2.2
1123,0,14,3.5,3.75,3.5,3.4,4,4,2.6,3.8,2.4,3.67,2.8,2.75,3.75,3.25,3.8,2.6,3.4,3.4,3.8,2.2,3.8,3,3,3,.,.,.,.,.,.,.,.,.,.,.,.,2.5,3,3,3,3,2.8,2.6,2.8,2.6,2.67,3.4,2.4,2.6
1124,1,14,3.5,3,3.5,3.6,3.8,3,3.2,4,3.8,3.33,3,3,3,3.5,3.4,3.8,3.6,3.6,4,4,2.6,3.67,3.6,3.6,3,2.75,3,3.2,3.2,3.8,3.2,4,3.8,3,3,3.6,3.25,3,3,3,3.8,3.2,2.8,4,3.8,3,2.8,3.4,2
1125,1,14,2,2.25,3.75,2.2,2.8,2.6,3,4,2.2,1.67,3,3,2.75,3.5,2.4,3.2,2.8,2.8,4,2.2,2.8,1.67,2.8,2.8,2.5,2.25,3,2.6,3.2,3,3.4,4,2.8,1,3,2.8,2.5,2.5,2.5,3,3.8,2.4,3.2,4,2.2,2,3.2,2.4,3.2
1126,1,16,2.25,2.25,3.25,2.4,2.8,2.8,3.2,3.8,2.4,2.33,3.4,3.5,3,3.25,3,2.8,2.4,2.8,2.6,3.2,3.6,2.67,2.2,2.2,2,2.5,3,3.4,3.2,3,3.8,4,2.6,2.33,3.8,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.
1127,0,14,3,2.5,3,3,3.2,2.8,3.2,2.8,3,3.67,3,2.75,3,3.5,3,3.8,2.4,3.2,4,2.8,3,3.33,2.8,2.8,2.75,2.75,3,3,3.4,2.4,2.8,3.4,2.8,4,3.2,3,3,2.5,2.75,3,2.8,2.2,2.8,2.4,2.6,3.33,3.2,2.4,2
1128,1,14,3.25,3.5,4,3.6,3.8,3,3.8,4,3.4,4,3.2,3.5,3,3.75,3.4,3.8,3.2,3.6,4,3.8,3.4,4,3.4,3.4,3.25,3.75,4,4,4,3.8,3.8,4,4,4,3.8,3.8,3.25,4,4,4,4,4,3.6,4,3.8,4,3.6,3.6,3
1129,0,14,3.5,3,3,3.2,3.6,3.2,3.2,2.2,2.6,4,2.8,3.25,2.25,3,2.6,3.4,3.2,2.8,2,2.2,3.4,4,3,3,3.25,3,3,2.8,3,3,3,2,3,3.67,3,3,3,3,3,3,3,3,2.8,3,3.2,3.33,3.2,3,3
1130,0,14,3,2.5,3,3.2,1.6,2.8,2.8,2.6,2.6,4,2.6,3.25,2.5,2.75,3,2,3,2.8,3,3,2.8,3,2.6,2.6,3,2.5,3,3,2.6,2.8,3,3,3,3,2.8,3,3.25,2.5,3,3,2.8,3,3,3,3.6,3,3.2,3,2
1131,1,15,3,3.75,3.5,3.4,3.8,2.4,3.6,4,3.4,3,2.6,2.75,3.75,3.75,3,3.8,3,4,4,3,3,3.33,3.2,3.2,2.25,3.5,3.75,3.4,3.4,2.8,3.6,4,3.2,3.67,3.4,3.4,2,4,3.75,2.8,4,2.6,3.8,4,3.2,3.33,2.6,3.2,2.4
1132,1,14,3,4,4,3.2,4,3.4,3.8,2.2,2.8,2.33,2.8,3.25,4,4,3.8,4,3.6,3.2,2.4,2.6,2.6,1,4,4,2.75,4,4,4,4,4,3.6,2.6,2.4,1,3.4,3.8,3.75,3.75,4,3.8,4,3.8,3.4,3,2.4,1,3.4,3.6,3.6
1133,0,14,3.5,2.75,3.75,3.8,3.8,2.4,2.6,2.8,3,3,2.6,3.5,3,3,3.4,3.8,3.6,2.4,3,3,2.8,3.33,3.6,3.6,3.75,4,4,4,4,2.8,2.6,2.6,3.2,2,3.2,4,4,3.5,3.75,4,3.6,2.8,3,2.8,2.6,3.67,3,4,2
1134,0,14,2.75,3.75,3.75,3.6,4,4,3,3.6,3.6,3.33,3.4,3,4,4,3.6,4,4,3.4,4,3.2,3.6,1.33,3.6,3.6,3,4,4,3.8,4,4,3.2,3.4,3.8,2.67,3.6,3.6,.,.,.,.,.,.,.,.,.,.,.,.,.
1135,0,14,3,3,3.75,3.6,3.2,3.2,2.6,2.8,.,2,.,3,3.75,4,3.4,3.2,3,3,3,2.4,3,3,2.8,2.8,3,3,3.5,3.8,3.2,4,2.4,3,2,2.67,3,2.6,3.75,2.75,4,4,3,3.2,2.8,2.6,2.4,2.33,3.2,2.2,3
1136,1,14,2.25,3,3.5,3.5,3.2,3,3.2,3.8,3.2,3,3,3.25,2.75,3.25,3.6,3,3.4,3.4,3.4,3,2.6,3,2.4,2.4,3.25,3.25,3,3.4,3,3.8,3.6,4,3,3,2.6,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.
1137,1,14,2.75,3,4,3.8,3.8,3.4,3.2,4,3.4,3.33,3.6,3.25,3,3.75,3.4,3.8,3.6,3.4,3.8,3.6,3.2,3,3.4,3.4,3,3,3.75,3,3.8,3.2,3.4,4,3.2,3,3.2,3.4,3,3,3.5,3,3.6,3,3.2,4,3.2,2.67,3,2.8,2.2
1138,0,14,2.75,3.75,3.5,2.8,3.6,3.8,3.4,3.4,2.4,4,3,2.5,2.25,3.25,2.8,3.4,3.4,3,2.4,2.4,3,3.33,2.2,2.2,3,2.5,3,2.8,3,3,2.8,2.8,2.6,3,2.6,2.6,3,2.25,3,3,3,3,3,3,2.6,3,2.8,2.2,3
1139,1,15,3.25,2,2.5,3,4,3,2.8,3.8,2.8,2.67,2.8,3.25,2.25,3.5,3,3.8,3.4,3.2,3,2.8,2,3,2,2,4,2.25,3,3.2,4,2.8,2.8,2.8,3,3,2.8,2.4,3.5,2.75,3,3.2,3.8,3.4,2.8,3,2.8,3,2.6,2.6,2.6
1140,0,14,2,1.5,3.67,2.75,3.2,3.2,3.2,1.8,2.6,3,2.4,3,3,3,3,3.2,3.6,2.8,3.2,3.2,2.8,3.33,2.6,2.6,3,3,2.75,3.4,3.2,3.8,3,3.6,2.8,2.33,3.2,2.8,3,3.25,3.5,3.4,4,3.4,3.2,3.8,2.8,3.67,3,3,3.8
1141,0,14,3.25,2,2.75,3,2.6,2.2,2.6,2.8,2.6,2.33,2.4,3.5,2.25,2.5,2.8,3,3,3,3,3.2,2.4,2.33,3.2,3.2,3.5,2,2.5,3,3.8,2.6,3,3.8,3.2,2,2.6,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.
1142,0,15,3.75,4,4,4,3.2,3.6,3.6,3.2,4,4,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,4,3.25,4,3.8,2.8,3,3.6,4,4,4,3.2,3.6,4,4,4,4,3,3,3.6,3.2,4,4,3,3.6,4
1143,1,14,2.5,2.5,3,2.6,3.8,3,3.4,3.2,3.6,4,3.2,2.5,3,2.75,2.8,3,3.8,3.4,2.8,3,2.4,3.33,2,2,3,2.75,2.75,2.8,3.4,3.6,3.4,3.2,3.8,3.33,2.8,2.6,2.75,2.75,3,2.8,3,4,3.8,3.8,3.2,3.33,3,3,2.8
1144,0,14,3,3.25,3.5,3.2,3.8,3,3,3.8,3.8,4,3,3.25,4,3.75,3.4,4,3.8,3,3,3.8,2.6,3.67,3.2,3.2,3.25,3.5,3.75,3.4,4,3.6,3,3,3.8,4,3.4,3,3,3,3,3,4,3.4,3,2.8,3.8,4,3.4,3,2.8
1145,0,14,3.5,3.75,3.75,4,3.2,3.4,3.4,3,3.2,3.67,3,3.25,3.25,3.5,3.4,3,3,3,3,2.8,2.8,3,3.6,3.6,3.5,3.25,3.25,3.8,3,2.8,3.2,3,3.4,3.33,2.8,4,4,4,3.5,4,3.4,3.2,3.6,3.2,3.4,3.33,4,3.6,3.8
1146,0,14,2.25,2.75,3,2.6,4,3.8,3,4,3,2,1.8,3,2.75,3,2.8,4,4,2.8,4,2.8,3,3,3.6,3.6,3,3,3,3,4,4,3.2,4,2.8,2,1.4,3.4,2.5,2.25,2.75,1.8,3,2.8,1.6,2.6,3,2,2,3.4,1.4
1147,1,14,2.75,2.75,2.5,3,3.4,3,3,3.6,2.8,2,3,2.75,3,2.5,2.8,3.8,3,3,3.4,3.6,3,3,3.2,3.2,2.75,3,3,2.6,3,3,2.8,2.8,2.6,3,2.8,3,3,2.75,3,3,2.8,3,3,3,3.2,3,2.8,3,2.6
1148,0,15,4,4,4,4,4,3.4,4,4,3.4,3,4,3.75,4,4,4,4,3.8,4,4,3.4,3.6,3,4,4,4,4,4,4,4,4,4,4,3,3.33,3.6,4,3.25,3.25,2.5,2.4,2.4,2.8,2.6,2.6,3,2.33,2.6,2.6,2.6
1149,1,14,2.25,2.25,3,2.2,2.8,3.8,3.4,4,2.8,2,3,2.75,3.75,3.75,3.4,3.6,3,4,4,2,2.8,2.67,3,3,2.75,4,4,4,4,4,4,4,2.6,3,3.6,3,2.75,4,4,4,4,4,3.8,4,2.8,3,3.8,3.4,3
1150,0,14,3.25,2.25,2.5,2.2,3,3.4,2.6,3.8,3.2,3.67,2.8,3.75,2,2.25,2.6,3.6,3.6,3,4,4,2.8,4,4,4,3.75,2.25,3,3,3.2,3.8,3.6,4,4,4,3,4,4,2.5,2.75,3.8,3.8,3.8,3.6,4,4,4,3.6,4,2.6
1151,0,14,2,2.75,3.25,2.8,3.8,3.2,3.6,3.6,3,3,2.2,3,3,3,3,4,3,4,3.8,3.2,2.2,3,3.2,3.2,3,2.75,3.25,3,4,3.4,4,4,3.2,3,1.8,3.2,3,3,3.25,3,3.6,3.6,4,4,3,3,2.6,3.4,2.4
1152,0,15,2,2.5,3,2.8,3.8,3,3,3.8,2.8,1.33,3.2,2.5,3,3,3,4,4,3.6,4,3.6,3,1,4,4,3,3,3.25,3,4,4,3.8,4,2.4,1,3.4,3.8,.,.,.,.,.,.,.,.,.,.,.,.,.
1153,0,14,2,2,3.33,2.5,3,3.4,3.4,3.6,2.8,1,1.8,2.25,2,3,2,3,2.8,2.6,2.6,2.8,2.4,2.33,2.6,2.6,2,2.5,3,2.4,2.6,3.4,3,3.4,2.6,2.33,2.8,2.6,2.25,3,3,2.8,3,2.8,3.2,3,3,3,3,3,2
1154,0,14,4,3.75,3.25,4,3.2,2.4,3.6,4,2.4,4,2.4,4,1.5,3.5,3.8,3.4,3.4,3.2,4,2.8,2.2,3.67,3.6,3.6,3.75,2.75,3,3.4,2.2,2.6,2.6,2.6,2.4,3,2.6,3.8,3,3,3,3,3,3,2.8,3,2.4,3.33,2.6,3,3
1155,1,14,2.25,2.5,3.5,2.4,2.8,4,3.4,4,2.2,2.67,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.,2.25,2.75,3.25,2.8,3.2,4,3.6,4,2.4,2.67,2.2,2.8,2.25,3,3.5,2.8,3,3,3,2.8,2.6,3,2.4,2.4,2
1156,1,15,2.75,3,3.25,3,4,4,3.6,4,4,3.33,4,3,2.75,3.25,3,3.8,4,4,4,3.8,3.6,4,3.6,3.6,3,2.75,3.75,3.4,4,4,4,4,4,4,4,3.4,3.25,3,3.5,3,3.8,3.6,4,4,3.8,4,4,3,2.4
1157,1,14,2.75,2,2.75,2.4,4,3.2,3.6,4,3.2,3,3.6,3,2,3,2.8,4,3,3.8,4,3.2,3.2,3,3,3,3,2.5,3.5,3,4,4,4,4,3.2,3.33,3.4,3.2,3,2,2.75,2.8,4,3.6,4,3.4,3,3.33,3.6,3.2,3.8
1158,1,14,3,3.75,3.75,3.8,3,3.4,4,4,3.6,3.33,3,3.25,3,3,3,3,3.2,3.4,4,3.8,3,4,3.2,3.2,3.25,3,3,3,2.8,3.2,3.2,4,4,4,3.2,3,3.25,3,3,3,2.8,3,3.6,4,3.6,4,3,3.4,3.2
1159,0,14,3,3,2.75,2.8,4,3.8,3.2,2.8,2.8,3,2.6,3.25,2.5,2.75,2.8,3.6,3.6,2.8,2.8,3.2,3,3.33,2.8,2.8,3,2.5,2.75,2.6,3.8,4,2.8,4,3,2.67,3,2.6,2.75,2,2,2,3.8,4,2.4,4,2.8,3,3,3,2.8
1160,1,16,2.25,2,2.75,2,1.8,2.4,2.8,3.2,2.4,2,2.6,2.5,2.25,2.5,2.6,2.2,2.8,2.6,2.8,2.2,2.4,2.67,2.4,2.4,2.5,2.5,2.75,2.4,2.2,2.8,2.8,3,2.4,2,2.2,2.8,2.5,2.25,2.75,2,2,2.8,2.8,3,2.4,2.33,2.4,2.6,3
1161,1,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1162,1,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2.75,2.75,3,3,3,3,3,2.6,2.33,2.8,2.8,3
1163,1,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1164,1,14,2.5,2,2.5,2.8,3.5,3.33,3.5,3.67,2.2,3,2.4,2.75,2.75,3,3.4,3.6,3.8,4,3.8,3.2,4,2.67,4,4,.,.,.,.,.,.,.,.,.,.,.,.,2.25,2.75,3,2.8,4,3.8,3.8,2,2.8,3.33,3.8,3.8,4
1165,0,15,3.75,3.5,4,2.8,3,3.33,4,3,3.4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,2.94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1166,1,20,1.75,3,3.25,2.4,4,2.6,2.8,3.8,2.6,2.67,2.6,1.75,3.75,3.25,2.8,4,2.6,2.6,4,2.2,3.4,2.67,.,3.13,2.75,3.5,3.75,3,4,3.2,2.6,4,2.2,3.33,2.8,2.4,2.5,4,4,3.6,4,3.4,2.8,4,2.4,3.67,3.2,2.6,3.2
1167,1,14,3,3.5,4,3.6,4,4,4,3.4,3.4,2.67,3.6,3,3.75,4,3.6,4,4,3.8,4,3.2,3.4,3.67,.,2.91,.,.,.,.,.,.,.,.,.,.,.,.,3,3.25,3.75,3.2,4,4,4,4,3.4,4,3.4,3.4,3
1168,0,14,3,3,3,3,4,3.2,3.4,3.6,2.6,1.67,3,3,2.5,3,2.6,4,3,2.8,3,2.2,3,2.33,.,3.34,3,2.75,3.5,3.4,4,3.4,3,3.4,2.6,2.33,3.4,2.6,2.75,3.75,3.25,4,3.6,3.2,2.8,3.2,2.6,1.33,3.8,2.8,2.2
1169,1,14,3.25,3.25,3.25,3.2,3.8,3.4,2.6,2.4,2.4,2.33,3.4,3.25,3.5,3.25,3.4,4,3,3.2,3,3,3.4,2.67,.,3.69,3.25,3.5,3.75,3.4,3.6,3,3,3,3.2,3,3,3,3,3,3.5,3.6,4,3.2,3,3,3.2,3,3.2,3.4,2.8
1170,1,15,1,1,2,1,2,3,2.2,4,2,1.67,3,2,1,1.75,1.8,1,3,2.4,3.8,2.6,3,1.33,.,2.24,.,.,.,.,.,.,.,.,.,.,.,.,1,1.25,1.75,1.4,1.8,3,2,3.8,2.2,1,3,2.4,1.6
1171,1,14,3,3.5,4,3.4,3.8,4,4,4,3.4,2.67,3,3.5,2.25,3.75,3.2,3.2,4,3.6,2.8,2.8,3.4,3,.,3.66,2.75,3,4,3.8,3.8,4,3.6,4,3.4,3,2.6,2.4,3.25,2.25,3.5,3,3.6,2.8,3.4,4,2.4,3.33,2.4,2.6,3.2
1172,.,14,2,2.25,2.5,3.2,3,3,2.4,2.4,2.6,3,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1173,.,14,2.75,3.75,3.25,2.6,2.2,2.2,2.4,1.2,1.8,3.33,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
